date, pm25, pm10, o3, no2, co
2016/3/24, 25, 10, 28, 3, 1
2016/3/25, 38, 11, 33, 1, 1
2016/3/26, 25, 10, 32, 2, 1
2016/3/27, 37, 7, 31, 3, 1
2016/3/28, 26, 8, 30, 2, 1
2016/3/29, 25, 10, 33, 3, 1
2016/3/30, 21, 10, 34, 1, 1
2016/3/31, 22, 9, 30, 1, 1
2015/10/1, 29, 11, 30, 1, 1
2015/10/2, 27, 15, 32, 3, 1
2015/10/3, 40, 11, 25, 3, 1
2015/10/4, 41, 17, 23, 7, 1
2015/10/5, 51, 12, 25, 2, 1
2015/10/6, 21, 14, 23, 1, 1
2015/10/7, 29, 16, 24, 3, 1
2015/10/8, 41, 14, 25, 4, 1
2015/10/9, 35, 8, 25, 2, 1
2015/10/10, 26, 5, 27, 1, 1
2015/10/11, 19, 7, 26, 2, 3
2015/10/12, 22, 9, 22, 2, 1
2015/10/13, 25, 21, 27, 2, 1
2015/10/14, 55, 31, 31, 3, 1
2015/10/15, 75, 18, 22, 2, 1
2015/10/16, 50, 27, 14, 2, 2
2015/10/17, 75, 34, 16, 2, 2
2015/10/18, 87, 11, 11, 6, 1
2015/10/19, 38, 9, 20, 4, 1
2015/10/20, 23, 8, 24, 3, 1
2015/10/21, 19, 8, 26, 4, 1
2015/10/22, 22, 19, 28, , 
2015/10/23, 35, 20, 20, 3, 1
2015/10/24, 40, 10, 28, 1, 
2015/10/25, 25, 15, 21, 8, 1
2015/10/26, 27, 14, 24, 11, 1
2015/10/27, 35, 13, 25, 4, 1
2015/10/28, 35, 19, 17, 6, 1
2015/10/29, 58, 31, 18, 5, 1
2015/10/30, 83, 40, 19, 5, 2
2015/10/31, 100, 28, 15, 5, 2
2015/11/1, 78, 8, 18, 2, 1
2015/11/2, 23, 9, 12, 6, 1
2015/11/3, 32, 17, 13, 7, 1
2015/11/4, 57, 17, 2, 12, 1
2015/11/5, 54, 16, 2, 12, 2
2015/11/6, 54, 7, 18, 2, 
2015/11/7, 16, 15, 31, 1, 
2015/11/8, 26, 14, 29, 1, 
2015/11/9, 23, 9, 25, , 1
2015/11/10, 25, 11, 28, 1, 1
2015/11/11, 24, 16, 28, 1, 1
2015/11/12, 30, 12, 32, 3, 1
2015/11/13, 24, 9, 31, , 
2015/11/14, 19, 8, 25, 2, 1
2015/11/15, 23, 8, 30, 3, 1
2015/11/16, 20, 9, 28, 2, 1
2015/11/17, 18, 11, 29, 1, 1
2015/11/18, 21, 10, 29, , 
2015/11/19, 20, 4, 21, 2, 1
2015/11/20, 12, 4, 23, 1, 1
2015/11/21, 14, 4, 25, , 1
2015/11/22, 18, 8, 21, 11, 1
2015/11/23, 30, 8, 18, 6, 1
2015/11/24, 20, 8, 12, 9, 2
2015/11/25, 30, 9, 15, 4, 1
2015/11/26, 29, 11, 18, 7, 1
2015/11/27, 26, 8, 27, 2, 1
2015/11/28, 21, 9, 32, 1, 1
2015/11/29, 18, 14, 32, , 
2015/11/30, 30, 14, 29, 1, 
2015/12/1, 30, 14, 25, 4, 
2015/12/2, 32, 11, 21, 5, 1
2015/12/3, 32, 14, 29, 3, 
2015/12/4, 31, 17, 24, 2, 1
2015/12/5, 34, 19, 32, 1, 
2015/12/6, 43, 21, 30, 6, 
2015/12/7, 40, 13, 18, 8, 1
2015/12/8, 37, 15, 25, 3, 1
2015/12/9, 33, 13, 19, 3, 
2015/12/10, 32, 6, 31, 2, 
2015/12/11, 15, 8, 26, 1, 1
2015/12/12, 21, 11, 26, 1, 1
2015/12/13, 34, 11, 30, 14, 2
2015/12/14, 35, 8, 24, 10, 1
2015/12/15, 26, 15, 18, 7, 1
2015/12/16, 49, 13, 17, 7, 1
2015/12/17, 31, 24, 24, 5, 1
2015/12/18, 50, 17, 19, 3, 1
2015/12/19, 44, 17, 16, 3, 1
2015/12/20, 47, 13, 26, 2, 1
2015/12/21, 32, 19, 29, 1, 1
2015/12/22, 38, 10, 30, , 1
2015/12/23, 26, 14, 24, 3, 1
2015/12/24, 30, 16, 31, , 1
2015/12/25, 33, 5, 28, 1, 1
2015/12/26, 16, 10, 28, 1, 1
2015/12/27, 27, 8, 27, 1, 1
2015/12/28, 21, 8, 26, , 1
2015/12/29, 28, 16, 20, 3, 1
2015/12/30, 53, , , , 
2016/1/1, 78, 14, 23, 1, 1
2016/1/2, 47, 7, 26, , 1
2016/1/3, 21, 9, 27, 2, 1
2015/7/1, 29, 11, 31, 2, 1
2015/7/2, 22, 18, 28, 2, 1
2015/7/3, 41, 22, 44, 4, 1
2015/7/4, 55, 26, 58, 4, 1
2015/7/5, 61, 11, 64, 3, 1
2015/7/6, 23, 12, 40, 1, 1
2015/7/7, 28, 12, 32, 1, 
2015/7/8, 26, 12, 26, , 
2015/7/9, 24, 13, 31, , 
2015/7/10, 26, 10, 29, , 
2015/7/11, 22, 10, 33, 2, 1
2015/7/12, 30, 8, 29, , 1
2015/7/13, 25, 8, 30, , 1
2015/7/14, 22, 9, 28, , 
2015/7/15, 22, 9, 31, , 
2015/7/16, 19, 10, 30, 1, 
2015/7/17, 21, 14, 37, 1, 1
2015/7/18, 30, 11, 32, , 1
2015/7/19, 25, 8, 36, , 1
2015/7/20, 21, 12, 32, 2, 1
2015/7/21, 30, 14, 41, 1, 1
2015/7/22, 31, 10, 31, , 1
2015/7/23, 24, 12, 35, 1, 1
2015/7/24, 29, 12, 33, 2, 1
2015/7/25, 28, 10, 31, , 
2015/7/26, 20, 11, 29, 1, 2
2015/7/27, 29, 11, 29, 1, 1
2015/7/28, 21, 9, 33, , 
2015/7/29, 18, 11, 31, 2, 1
2015/7/30, 25, 11, 31, , 1
2015/7/31, 23, 10, 33, , 1
2015/8/1, 29, 12, 43, 1, 1
2015/8/2, 33, 15, 47, 3, 1
2015/8/3, 37, 30, 59, 2, 1
2015/8/4, 58, 13, 35, 1, 1
2015/8/5, 28, 17, 39, 4, 1
2015/8/6, 34, 17, 42, 3, 1
2015/8/7, 35, 13, 31, 1, 1
2015/8/8, 32, 10, 39, , 1
2015/8/9, 27, 17, 35, 4, 1
2015/8/10, 37, 14, 38, 2, 1
2015/8/11, 30, 8, 32, 1, 1
2015/8/12, 21, 14, 33, 2, 1
2015/8/13, 25, 18, 33, 1, 1
2015/8/14, 19, 22, 41, 2, 1
2015/8/15, 41, 19, 36, 2, 1
2015/8/16, 37, 23, 34, 1, 1
2015/8/17, 33, 19, 28, 1, 1
2015/8/18, 29, 22, 36, 2, 1
2015/8/19, 32, 26, 41, 4, 1
2015/8/20, 45, 26, 40, 5, 1
2015/8/21, 47, 24, 42, 4, 1
2015/8/22, 43, 24, 38, 2, 1
2015/8/23, 39, 20, 36, 3, 1
2015/8/24, 50, 13, 33, 2, 1
2015/8/25, 30, 12, 26, 3, 1
2015/8/26, 31, 8, 30, 3, 1
2015/8/27, 23, 9, 34, 1, 1
2015/8/28, 23, 12, 36, 1, 1
2015/8/29, 25, 13, 34, 2, 1
2015/8/30, 32, 12, 23, 4, 1
2015/8/31, 30, 11, 29, 2, 1
2015/9/1, 27, 9, 36, , 1
2015/9/2, 20, 9, 32, 2, 1
2015/9/3, 20, 10, 33, 4, 1
2015/9/4, 28, 10, 30, 1, 1
2015/9/5, 24, 8, 30, , 1
2015/9/6, 19, 11, 27, , 1
2015/9/7, 22, 9, 27, 1, 1
2015/9/8, 19, 8, 27, 3, 1
2015/9/9, 20, 10, 23, 4, 1
2015/9/10, 25, 12, 31, 2, 1
2015/9/11, 34, 15, 30, 2, 1
2015/9/12, 44, 25, 23, 2, 1
2015/9/13, 71, 24, 32, 3, 1
2015/9/14, 66, 7, 28, 2, 1
2015/9/15, 20, 10, 26, 4, 1
2015/9/16, 25, 7, 27, 3, 1
2015/9/17, 20, 12, 32, 1, 1
2015/9/18, 29, 9, 35, 1, 1
2015/9/19, 23, 8, 30, , 1
2015/9/20, 19, 7, 34, 2, 1
2015/9/21, 18, 12, 21, 5, 1
2015/9/22, 40, 10, 25, 4, 1
2015/9/23, 36, 11, 23, 4, 1
2015/9/24, 34, 9, 26, 2, 1
2015/9/25, 23, 11, 28, , 1
2015/9/26, 22, 9, 25, 1, 1
